EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM,Label
20090120000000748,2009-01-20T00:00:00.744000Z,-83.925645,-78.186217,1.845,5.764,6.628,-83.92796,-78.185741,2.0851,0.6236,0.1101,0.0899,0.1016,0.1725,0.2848,0.1709,4.096,3.467,4.096,0.5
20090120000002544,2009-01-20T00:00:02.564000Z,-83.816121,-78.181101,1.52,5.531,6.587,-83.816284,-78.18135,1.5191,0.0915,0.1193,0.714,0.0741,0.1121,0.2838,0.1331,4.042,3.321,4.042,0.5
20090120000003304,2009-01-20T00:00:03.316000Z,-83.841338,-78.1202,2.05,3.907,4.638,-83.840075,-78.119965,2.0194,0.0615,0.2102,0.1857,0.1047,0.1089,0.0736,0.0943,3.009,2.482,3.009,1
20090120000010024,2009-01-20T00:00:10.040000Z,-83.960096,-78.165925,1.855,4.899,5.561,-83.962654,-78.165968,1.8508,0.0741,0.1423,0.2099,0.447,0.3621,0.0987,0.2518,3.716,3.182,3.716,1
20090120000011428,2009-01-20T00:00:11.448000Z,-84.027044,-78.138226,1.915,9.298,10.78,-84.024713,-78.138504,1.894,0.0749,0.1191,0.1833,0.0297,0.0384,0.0468,0.0377,5.263,4.433,5.263,1
20090120000015004,2009-01-20T00:00:15.040000Z,-83.980521,-78.184147,1.89,9.154,10.57,-83.980815,-78.184173,1.8475,0.0748,0.1063,0.2511,0.0431,0.0764,0.1005,0.0692,4.77,4.013,4.77,1
20090120000016716,2009-01-20T00:00:16.736000Z,-84.036782,-78.151791,2.07,3.699,4.238,-84.035379,-78.151815,2.0537,0.0625,0.22,0.1696,0.1499,0.1006,0.0366,0.082,3.04,2.597,3.04,1
20090120000019968,2009-01-20T00:00:20.000000Z,-83.903769,-78.161498,1.81,9.622,11.11,-83.904895,-78.16159,1.8193,0.3145,0.0783,0.0918,0.0671,0.085,0.1014,0.0833,5.838,4.884,5.838,1
20090120000021772,2009-01-20T00:00:21.804000Z,-84.025155,-78.166038,2.02,7.158,8.263,-84.026227,-78.165954,2.0084,0.0628,0.2163,0.1485,0.0878,0.0832,0.046,0.0695,3.293,2.76,3.293,1
20090120000029648,2009-01-20T00:00:29.652000Z,-84.01208,-78.168641,1.995,7.709,9,-84.013614,-78.16884,1.9679,0.0625,0.1405,0.1832,0.0507,0.0575,0.0362,0.0473,4.036,3.365,4.036,1
