Latitude,Longitude,Elevation,Name
65.01879,-15.57452,0.443,ADA
65.11240,-15.98219,0.551,ARNA
65.05194,-16.64806,0.955,ASK
65.21830,-16.97939,0.487,BOTN
64.82886,-16.08850,0.751,BRU
65.20461,-16.86597,0.536,BRUN
65.07733,-16.93670,0.801,DALR
65.07739,-16.93341,0.801,DDAL
65.04944,-16.59703,0.82,DREK
64.92149,-16.72847,0.705,DSAN
65.10550,-16.92232,0.71,DYFE
64.79086,-17.36648,1.146,DYN
64.93490,-16.67546,0.688,DYSA
65.03358,-16.96212,0.883,EFJA
65.00945,-17.03759,0.837,FJAL
65.02470,-17.09217,0.798,FJAS
64.85661,-16.94212,0.769,FLAE
65.18279,-16.49796,0.728,FLAT
64.84354,-17.02693,0.838,FLUR
65.35190,-16.28355,0.533,FREF
64.87353,-16.91978,0.774,FYDU
64.98064,-15.08544,0.115,GLU
65.03704,-16.85982,1.266,GODA
65.10812,-16.05815,0.536,HALI
65.19875,-16.21843,0.491,HELI
65.18157,-16.39731,0.686,HERD
65.12870,-16.31698,0.581,HETO
64.83521,-16.89245,0.776,HOLA
65.04748,-16.52985,0.718,HOTT
64.89633,-16.97921,0.849,HRIM
65.15577,-16.67551,0.697,HRUR
65.15576,-16.67443,0.701,HRUT
64.95473,-15.86928,0.703,HVA
65.33217,-16.72778,0.531,HVAF
65.30373,-16.69773,0.583,HVAM
65.11055,-16.24406,0.548,JOAF
65.07747,-16.80570,1.174,JONS
64.99901,-16.96539,0.885,KATT
65.07529,-16.73522,1.114,KLUR
65.36317,-16.84383,0.517,KODA
65.29024,-16.56726,0.593,KOLL
65.29024,-16.56726,0.593,KOLLA
65.29024,-16.56726,0.593,KOLLS
64.78369,-16.38282,0.76,KRE
64.99332,-16.26532,0.625,KREP
64.76347,-16.61068,0.829,KVER
64.85278,-16.45230,0.726,LIND
65.15841,-16.82334,0.73,LOGR
65.15699,-16.82042,0.734,LOKA
65.15699,-16.82042,0.734,LOKAA
65.15699,-16.82042,0.734,LOKAS
65.13623,-16.91511,0.63,LOKT
65.05589,-16.36302,0.606,MFLS
65.08676,-16.32961,0.572,MIDF
64.97840,-16.33826,0.69,MKO
64.98440,-16.65119,0.702,MOFO
65.01350,-16.81258,1.16,MVET
65.15550,-16.36895,0.639,MYVO
65.15550,-16.36895,0.639,MYVOA
65.15550,-16.36895,0.639,MYVOS
65.02023,-16.57285,0.697,NAUG
65.02071,-16.57330,0.692,NAUT
64.92377,-16.83372,0.741,NOFL
64.93392,-16.94952,0.826,NOHR
65.04225,-16.79473,1.127,OLAF
65.03933,-16.70164,1.209,OSKV
65.04696,-16.77066,1.13,OSVA
65.10414,-16.08808,0.527,RF02
65.09724,-16.15478,0.522,RF03
65.08975,-16.19557,0.549,RF04
64.91533,-16.37127,0.657,RIFN
64.91533,-16.37127,0.657,RIFR
64.90194,-16.88503,0.746,RIMA
64.98513,-16.88639,1.022,RODG
64.98513,-16.88639,1.022,RODGA
64.98513,-16.88639,1.022,RODGS
64.97894,-16.83757,1.004,SOFA
64.94193,-16.85430,0.805,SOSU
64.94189,-16.85419,0.807,SSUD
64.99691,-16.80959,1.171,STAM
64.81091,-16.53488,0.751,STJA
65.13313,-16.63144,0.721,STOR
65.33691,-17.25454,0.403,SVA
65.11746,-16.57498,0.68,SVAD
64.91658,-16.78473,0.715,TOHR
65.10338,-16.11950,0.528,TOLI
64.82033,-17.14737,1.002,URDU
65.03605,-16.31867,0.623,UTYR
65.03605,-16.31867,0.623,UTYRA
65.03605,-16.31867,0.623,UTYRS
64.99487,-16.53817,0.673,VADA
65.38205,-16.37467,0.507,VEGG
65.06619,-16.73256,1.11,VIBR
65.08446,-16.49346,0.696,VIFE
65.07474,-16.51347,0.718,VIKR
65.06013,-16.41360,0.641,VIKS
65.06901,-16.40369,0.64,VISA
64.80775,-15.72768,0.86,VSH
