EventID,DT_QM,X_QM,Y_QM,Z_QM,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM,ML,ML_Err,ML_r2,DT_MAN,X_MAN,Y_MAN,Z_MAN,RMS,NPHA,NPAIR,NUM_P,NUM_S,MIN_DST,AZ_GAP,VPVS,Err_X,Err_Y,Err_Z,Err_XYZ,FNAME,OBSFILE,epi_diff,epi_diff_az,X_diff,Y_diff,Z_diff
20070706220710720,2007-07-06 22:07:10.400,-16.410733,65.108052,0.2,16.88,15.74,-16.378624,65.108941,2.518,3.073,1.811,2.168,0.469,0.5,0.476,0.481,0,0,0,1.07,0.367,0.623,2007-07-06 22:07:10.718463,-16.413132,65.107475,0.764648,0.0734112,37,14,20.0,17.0,4.31154,46.753,1.69693,0.26599872180144024,0.24152935018336796,0.42967354235512334,0.3022242846673025,loc.qm-man_matched.20070706.220711.grid0.loc.hyp,20070706220710720.nonlinloc,0.12978431096753615,240.28614028356282,-0.11271918459863592,-0.06433003028708102,0.564648
20070708093230280,2007-07-08 09:32:30.160,-16.387421,65.095463,2.5,44.18,44.17,-16.368039,65.093149,3.563,2.601,1.923,2.021,0.5,0.0,0.706,0.0,0,0,0,1.01,0.375,0.672,2007-07-08 09:32:30.272448,-16.382847,65.096105,3.000977,0.0588045,44,20,22.0,22.0,2.71106,42.287,1.75454,0.2868702441871586,0.2879988732616848,0.48906835718537345,0.34314837941040177,loc.qm-man_matched.20070708.093231.grid0.loc.hyp,20070708093230280.nonlinloc,0.22660975684319729,71.58459437910953,0.21500532182766136,0.07158696447200961,0.5009769999999998
20070710071425880,2007-07-10 07:14:25.780,-16.670147,65.014875,2.4,9.049,9.251,-16.666983,65.013125,3.548,2.2,2.706,3.47,0.652,0.66,0.865,0.719,0,0,0,0.166,0.312,0.59,2007-07-10 07:14:25.874929,-16.673192,65.016224,2.419922,0.0940885,24,12,12.0,12.0,3.69688,87.3936,1.82973,0.4433551781585504,0.6759165555007511,1.1378898936188862,0.6986318321521845,loc.qm-man_matched.20070710.071427.grid0.loc.hyp,20070710071425880.nonlinloc,0.2079242867138755,316.3338641060273,-0.14356236085052668,0.1504073055157131,0.019922000000000217
20070711152648140,2007-07-11 15:26:48.020,-16.836046,65.067624,5.0,5.297,5.457,-16.803586,65.075712,4.703,3.752,2.684,2.818,1.607,1.245,1.812,1.536,0,0,0,-0.084,0.321,0.426,2007-07-11 15:26:48.148086,-16.818342,65.066782,2.97168,0.0674846,18,8,10.0,8.0,3.15003,82.9381,1.85099,0.4052239158786164,0.522033355256156,0.8629923927822307,0.567283427713183,loc.qm-man_matched.20070711.152649.grid0.loc.hyp,20070711152648140.nonlinloc,0.8383693784716596,96.42123489542624,0.8331099003892188,-0.09376091207119697,-2.02832
20070711190211380,2007-07-11 19:02:11.300,-16.836039,65.066727,5.0,5.616,5.801,-16.804232,65.06725,4.62,2.397,2.854,3.486,1.419,1.443,1.683,1.511,0,0,0,-0.0233,0.369,0.264,2007-07-11 19:02:11.378879,-16.812282,65.065738,2.576172,0.0815244,15,7,8.0,7.0,2.86747,81.6253,0.907692,0.6525437226730482,0.4854736717886975,1.6879711371939983,0.8116711410511946,loc.qm-man_matched.20070711.190212.grid0.loc.hyp,20070711190211380.nonlinloc,1.1233980685254565,95.62216759574363,1.117994041779163,-0.11005699847359762,-2.423828
20070712001514460,2007-07-12 00:15:14.300,-16.678636,65.016665,2.4,4.994,5.196,-16.671626,65.020014,3.296,3.587,2.375,2.742,1.428,1.219,1.657,1.423,0,0,0,-0.0694,0.325,0.496,2007-07-12 00:15:14.457660,-16.679161,65.017246,2.537109,0.0602917,16,7,9.0,7.0,3.89255,175.106,1.75507,0.7384373297714573,0.4661042201053322,0.7839358073209821,0.64618825492213,loc.qm-man_matched.20070712.001515.grid0.loc.hyp,20070712001514460.nonlinloc,0.06934508060809483,339.0883608648024,-0.024751184801957715,0.06477745792667776,0.13710900000000015
20070712043004380,2007-07-12 04:30:04.220,-16.699911,65.033694,1.9,6.751,6.972,-16.692787,65.038545,3.084,2.238,2.718,3.256,0.715,1.102,0.896,0.89,0,0,0,-0.134,0.298,0.496,2007-07-12 04:30:04.385681,-16.706964,65.032943,1.873047,0.07247,24,12,12.0,12.0,3.38301,143.488,1.74959,0.5015095153633677,0.41280879714463453,0.6035108946821093,0.4999244896166131,loc.qm-man_matched.20070712.043005.grid0.loc.hyp,20070712043004380.nonlinloc,0.3427008600597609,255.86108815093087,-0.3323191977374703,-0.08371278457215436,-0.026953000000000005
20070712150850220,2007-07-12 15:08:50.060,-16.282047,65.19035,5.0,37.54,34.62,-16.281715,65.187168,4.805,2.605,1.901,1.769,0.469,0.0,0.804,0.0,0,0,0,0.911,0.379,0.579,2007-07-12 15:08:50.219418,-16.288807,65.187972,4.529297,0.0638872,34,16,18.0,16.0,3.50826,96.3756,1.76566,0.5803436154555334,0.46778136452834457,0.9107420930208507,0.6276359995299015,loc.qm-man_matched.20070712.150851.grid0.loc.hyp,20070712150850220.nonlinloc,0.4129941967845927,230.06305413260714,-0.316663865479647,-0.2651192238922688,-0.4707030000000003
20070713143600740,2007-07-13 14:36:00.560,-16.691412,65.031008,2.0,6.869,7.139,-16.687739,65.031857,3.01,2.115,2.582,3.198,0.51,0.615,0.971,0.673,0,0,0,0.0879,0.326,0.578,2007-07-13 14:36:00.735927,-16.684041,65.027691,2.297852,0.0775372,26,12,14.0,12.0,3.19094,81.4669,1.79447,0.37765078975159044,0.3954581128261247,0.6130542961271864,0.4507093929147317,loc.qm-man_matched.20070713.143601.grid0.loc.hyp,20070713143600740.nonlinloc,0.507365902970076,136.79148393275335,0.3473708293247966,-0.3698021990616654,0.2978519999999998
20070714021004520,2007-07-14 02:10:04.440,-16.66804,65.020258,2.0,7.925,8.271,-16.659053,65.022515,3.194,2.403,2.799,3.24,0.608,0.631,0.998,0.726,0,0,0,0.161,0.282,0.648,2007-07-14 02:10:04.523144,-16.676405,65.018187,2.366211,0.0751484,22,10,12.0,10.0,3.95031,87.2215,1.75085,0.3994264976187734,0.3994941000815907,0.631605335632941,0.4653692437742729,loc.qm-man_matched.20070714.021005.grid0.loc.hyp,20070714021004520.nonlinloc,0.45696766828790636,239.6530986019714,-0.3943549926028587,-0.23087570177410452,0.36621099999999984
