EventID,CoaTime,TRIG_COA,COA_X,COA_Y,COA_Z,COA,COA_NORM,MinTime,MaxTime
20090120000000748,2009-01-20T00:00:00.748000Z,4.09612,-83.924992,-78.187382,1.9,3.46719,4.09612,2009-01-20T00:00:00.588000Z,2009-01-20T00:00:01.008000Z
20090120000002544,2009-01-20T00:00:02.544000Z,4.04203,-83.811298,-78.182891,1.5,3.3208,4.04203,2009-01-20T00:00:02.184000Z,2009-01-20T00:00:02.828000Z
20090120000003304,2009-01-20T00:00:03.304000Z,3.00924,-83.842212,-78.119305,2.1,2.48217,3.00924,2009-01-20T00:00:03.184000Z,2009-01-20T00:00:03.424000Z
20090120000010024,2009-01-20T00:00:10.024000Z,3.71603,-83.959882,-78.166776,2.0,3.18216,3.71603,2009-01-20T00:00:09.888000Z,2009-01-20T00:00:10.172000Z
20090120000011428,2009-01-20T00:00:11.428000Z,5.2634,-84.029438,-78.138091,2.0,4.43284,5.2634,2009-01-20T00:00:11.240000Z,2009-01-20T00:00:11.628000Z
20090120000015004,2009-01-20T00:00:15.004000Z,4.76963,-83.981843,-78.18558,2.0,4.01271,4.76963,2009-01-20T00:00:14.840000Z,2009-01-20T00:00:15.288000Z
20090120000016716,2009-01-20T00:00:16.716000Z,3.03985,-84.038305,-78.151522,2.2,2.59655,3.03985,2009-01-20T00:00:16.596000Z,2009-01-20T00:00:16.836000Z
20090120000019968,2009-01-20T00:00:19.968000Z,5.83786,-83.903115,-78.162304,2.0,4.88426,5.83786,2009-01-20T00:00:19.764000Z,2009-01-20T00:00:20.160000Z
20090120000021772,2009-01-20T00:00:21.772000Z,3.29292,-84.025381,-78.166755,2.2,2.76037,3.29292,2009-01-20T00:00:21.652000Z,2009-01-20T00:00:21.932000Z
20090120000029648,2009-01-20T00:00:29.648000Z,4.03649,-84.012306,-78.169447,2.0,3.36496,4.03649,2009-01-20T00:00:29.460000Z,2009-01-20T00:00:29.784000Z
20090120000037748,2009-01-20T00:00:37.748000Z,3.97101,-83.798325,-78.165868,1.9,3.22918,3.97101,2009-01-20T00:00:37.560000Z,2009-01-20T00:00:37.996000Z
20090120000043060,2009-01-20T00:00:43.060000Z,3.48066,-83.885646,-78.169469,2.0,2.90334,3.48066,2009-01-20T00:00:42.940000Z,2009-01-20T00:00:43.212000Z
20090120000043868,2009-01-20T00:00:43.868000Z,4.13262,-84.029419,-78.136299,1.9,3.39796,4.13262,2009-01-20T00:00:43.708000Z,2009-01-20T00:00:43.988000Z
20090120000046100,2009-01-20T00:00:46.100000Z,3.27458,-83.977244,-78.150649,2.0,2.75535,3.27458,2009-01-20T00:00:45.948000Z,2009-01-20T00:00:46.220000Z
20090120000047744,2009-01-20T00:00:47.744000Z,3.63071,-83.785278,-78.160489,1.8,3.08832,3.63071,2009-01-20T00:00:47.600000Z,2009-01-20T00:00:47.932000Z
20090120000107548,2009-01-20T00:01:07.548000Z,4.02568,-84.016387,-78.139888,2.0,3.34189,4.02568,2009-01-20T00:01:07.376000Z,2009-01-20T00:01:07.684000Z
20090120000108100,2009-01-20T00:01:08.100000Z,3.54591,-84.012306,-78.169447,2.1,2.93378,3.54591,2009-01-20T00:01:07.964000Z,2009-01-20T00:01:08.220000Z
20090120000115428,2009-01-20T00:01:15.428000Z,6.56316,-84.020735,-78.13899,2.0,5.3952,6.56316,2009-01-20T00:01:15.220000Z,2009-01-20T00:01:15.608000Z
20090120000118144,2009-01-20T00:01:18.144000Z,3.35351,-83.959877,-78.16588,2.0,2.78292,3.35351,2009-01-20T00:01:17.976000Z,2009-01-20T00:01:18.264000Z
20090120000119552,2009-01-20T00:01:19.552000Z,4.63712,-83.981843,-78.18558,2.0,3.79281,4.63712,2009-01-20T00:01:19.332000Z,2009-01-20T00:01:19.772000Z
20090120000121376,2009-01-20T00:01:21.376000Z,5.31717,-83.903115,-78.162304,2.0,4.28898,5.31717,2009-01-20T00:01:21.188000Z,2009-01-20T00:01:21.644000Z
20090120000122320,2009-01-20T00:01:22.320000Z,3.15991,-84.029737,-78.165857,2.2,2.61977,3.15991,2009-01-20T00:01:22.188000Z,2009-01-20T00:01:22.452000Z
20090120000124076,2009-01-20T00:01:24.076000Z,4.95855,-83.924994,-78.188277,2.0,4.21144,4.95855,2009-01-20T00:01:23.948000Z,2009-01-20T00:01:24.388000Z
20090120000132496,2009-01-20T00:01:32.496000Z,3.1471,-83.723981,-78.173893,2.1,2.52834,3.1471,2009-01-20T00:01:32.300000Z,2009-01-20T00:01:32.628000Z
20090120000133216,2009-01-20T00:01:33.216000Z,8.53901,-83.759082,-78.161373,2.0,6.83991,8.53901,2009-01-20T00:01:32.840000Z,2009-01-20T00:01:33.548000Z
20090120000135092,2009-01-20T00:01:35.092000Z,5.52111,-83.955441,-78.150654,2.1,4.3544,5.52111,2009-01-20T00:01:34.832000Z,2009-01-20T00:01:35.320000Z
20090120000141860,2009-01-20T00:01:41.860000Z,3.19904,-83.951088,-78.152447,2.3,2.68421,3.19904,2009-01-20T00:01:41.740000Z,2009-01-20T00:01:42.000000Z
20090120000142548,2009-01-20T00:01:42.548000Z,3.19088,-83.972878,-78.149755,2.1,2.6523,3.19088,2009-01-20T00:01:42.400000Z,2009-01-20T00:01:42.668000Z
20090120000145804,2009-01-20T00:01:45.804000Z,3.886,-83.999137,-78.161391,2.0,3.22791,3.886,2009-01-20T00:01:45.652000Z,2009-01-20T00:01:45.924000Z
20090120000148592,2009-01-20T00:01:48.592000Z,3.65419,-84.012306,-78.169447,2.1,3.1292,3.65419,2009-01-20T00:01:48.432000Z,2009-01-20T00:01:48.744000Z
20090120000156676,2009-01-20T00:01:56.676000Z,3.22919,-83.89875,-78.160512,2.0,2.7052,3.22919,2009-01-20T00:01:56.540000Z,2009-01-20T00:01:56.824000Z
20090120000201848,2009-01-20T00:02:01.848000Z,3.50494,-83.885647,-78.168573,1.8,2.95214,3.50494,2009-01-20T00:02:01.684000Z,2009-01-20T00:02:01.992000Z
20090120000205020,2009-01-20T00:02:05.020000Z,3.02639,-84.051614,-78.169429,1.8,2.52548,3.02639,2009-01-20T00:02:04.900000Z,2009-01-20T00:02:05.140000Z
20090120000212000,2009-01-20T00:02:12.000000Z,3.1799,-83.959877,-78.16588,1.9,2.71055,3.1799,2009-01-20T00:02:11.848000Z,2009-01-20T00:02:12.120000Z
20090120000214868,2009-01-20T00:02:14.868000Z,6.26186,-84.00364,-78.177512,2.0,5.34068,6.26186,2009-01-20T00:02:14.732000Z,2009-01-20T00:02:15.076000Z
20090120000217208,2009-01-20T00:02:17.208000Z,3.81385,-83.859426,-78.173945,1.7,3.2535,3.81385,2009-01-20T00:02:16.980000Z,2009-01-20T00:02:17.368000Z
20090120000219448,2009-01-20T00:02:19.448000Z,4.25625,-83.815683,-78.181101,1.7,3.58962,4.25625,2009-01-20T00:02:19.152000Z,2009-01-20T00:02:19.708000Z
20090120000220924,2009-01-20T00:02:20.924000Z,5.32916,-83.981843,-78.18558,2.0,4.48061,5.32916,2009-01-20T00:02:20.704000Z,2009-01-20T00:02:21.120000Z
20090120000222768,2009-01-20T00:02:22.768000Z,4.50582,-83.802699,-78.164974,1.8,3.73988,4.50582,2009-01-20T00:02:22.600000Z,2009-01-20T00:02:23.020000Z
20090120000226052,2009-01-20T00:02:26.052000Z,3.41924,-83.972884,-78.150651,2.1,2.84794,3.41924,2009-01-20T00:02:25.892000Z,2009-01-20T00:02:26.196000Z
20090120000229264,2009-01-20T00:02:29.264000Z,3.42514,-83.881293,-78.160512,1.8,2.85593,3.42514,2009-01-20T00:02:29.076000Z,2009-01-20T00:02:29.408000Z
20090120000229692,2009-01-20T00:02:29.692000Z,4.61103,-84.016387,-78.139888,2.0,3.76862,4.61103,2009-01-20T00:02:29.520000Z,2009-01-20T00:02:29.840000Z
20090120000234448,2009-01-20T00:02:34.448000Z,4.40086,-83.92499,-78.186486,1.7,3.70067,4.40086,2009-01-20T00:02:34.188000Z,2009-01-20T00:02:34.628000Z
20090120000240156,2009-01-20T00:02:40.156000Z,4.44273,-84.012306,-78.169447,2.1,3.63905,4.44273,2009-01-20T00:02:39.980000Z,2009-01-20T00:02:40.340000Z
20090120000246360,2009-01-20T00:02:46.360000Z,3.42479,-83.951088,-78.152447,2.2,2.92066,3.42479,2009-01-20T00:02:46.220000Z,2009-01-20T00:02:46.500000Z
20090120000302080,2009-01-20T00:03:02.080000Z,5.94619,-84.020735,-78.13899,2.0,4.82462,5.94619,2009-01-20T00:03:01.952000Z,2009-01-20T00:03:02.280000Z
20090120000308532,2009-01-20T00:03:08.532000Z,3.17056,-83.855053,-78.17484,1.7,2.75069,3.17056,2009-01-20T00:03:08.392000Z,2009-01-20T00:03:08.664000Z
20090120000312488,2009-01-20T00:03:12.488000Z,4.34093,-83.802699,-78.164974,1.9,3.70792,4.34093,2009-01-20T00:03:12.284000Z,2009-01-20T00:03:12.736000Z
20090120000316108,2009-01-20T00:03:16.108000Z,3.84205,-84.012306,-78.169447,2.1,3.22591,3.84205,2009-01-20T00:03:15.948000Z,2009-01-20T00:03:16.260000Z
20090120000317204,2009-01-20T00:03:17.204000Z,5.61554,-83.981843,-78.18558,2.0,4.62551,5.61554,2009-01-20T00:03:16.928000Z,2009-01-20T00:03:17.448000Z
20090120000325100,2009-01-20T00:03:25.100000Z,3.21841,-83.972878,-78.149755,2.1,2.69655,3.21841,2009-01-20T00:03:24.980000Z,2009-01-20T00:03:25.236000Z
20090120000327972,2009-01-20T00:03:27.972000Z,3.21008,-83.86824,-78.145284,2.2,2.72666,3.21008,2009-01-20T00:03:27.852000Z,2009-01-20T00:03:28.092000Z
20090120000336468,2009-01-20T00:03:36.468000Z,4.07993,-83.903115,-78.161408,2.0,3.34727,4.07993,2009-01-20T00:03:36.200000Z,2009-01-20T00:03:36.764000Z
20090120000339952,2009-01-20T00:03:39.952000Z,3.39728,-83.785278,-78.160489,1.8,2.73308,3.39728,2009-01-20T00:03:39.788000Z,2009-01-20T00:03:40.308000Z
20090120000347000,2009-01-20T00:03:47.000000Z,3.27791,-83.881293,-78.160512,1.8,2.76038,3.27791,2009-01-20T00:03:46.864000Z,2009-01-20T00:03:47.136000Z
20090120000347860,2009-01-20T00:03:47.860000Z,3.84447,-84.016387,-78.139888,2.0,3.15578,3.84447,2009-01-20T00:03:47.688000Z,2009-01-20T00:03:48.000000Z
20090120000348184,2009-01-20T00:03:48.184000Z,3.56942,-83.93812,-78.189172,1.9,2.91649,3.56942,2009-01-20T00:03:48.024000Z,2009-01-20T00:03:48.444000Z
20090120000350272,2009-01-20T00:03:50.272000Z,3.44509,-84.012306,-78.169447,2.1,2.89747,3.44509,2009-01-20T00:03:50.136000Z,2009-01-20T00:03:50.428000Z
20090120000357116,2009-01-20T00:03:57.116000Z,3.14457,-83.741363,-78.181069,2.0,2.59091,3.14457,2009-01-20T00:03:56.848000Z,2009-01-20T00:03:57.268000Z
20090120000402728,2009-01-20T00:04:02.728000Z,8.90173,-83.759082,-78.161373,2.0,7.17459,8.90173,2009-01-20T00:04:02.352000Z,2009-01-20T00:04:03.028000Z
20090120000406092,2009-01-20T00:04:06.092000Z,4.56955,-83.802699,-78.164974,1.8,3.78581,4.56955,2009-01-20T00:04:05.856000Z,2009-01-20T00:04:06.320000Z
