EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM
20090120000002544,2009-01-20T00:00:02.564000Z,-83.816121,-78.181101,1.52,5.531,6.587,-83.816284,-78.18135,1.5191,0.0915,0.1193,0.714,0.0741,0.1121,0.2838,0.1331,4.042,3.321,4.042
20090120000011428,2009-01-20T00:00:11.448000Z,-84.027044,-78.138226,1.915,9.298,10.78,-84.024713,-78.138504,1.894,0.0749,0.1191,0.1833,0.0297,0.0384,0.0468,0.0377,5.263,4.433,5.263
20090120000015004,2009-01-20T00:00:15.040000Z,-83.980521,-78.184147,1.89,9.154,10.57,-83.980815,-78.184173,1.8475,0.0748,0.1063,0.2511,0.0431,0.0764,0.1005,0.0692,4.77,4.013,4.77
20090120000019968,2009-01-20T00:00:20.000000Z,-83.903769,-78.161498,1.81,9.622,11.11,-83.904895,-78.16159,1.8193,0.3145,0.0783,0.0918,0.0671,0.085,0.1014,0.0833,5.838,4.884,5.838
20090120000021772,2009-01-20T00:00:21.804000Z,-84.025155,-78.166038,2.02,7.158,8.263,-84.026227,-78.165954,2.0084,0.0628,0.2163,0.1485,0.0878,0.0832,0.046,0.0695,3.293,2.76,3.293
20090120000029648,2009-01-20T00:00:29.652000Z,-84.01208,-78.168641,1.995,7.709,9.0,-84.013614,-78.16884,1.9679,0.0625,0.1405,0.1832,0.0507,0.0575,0.0362,0.0473,4.036,3.365,4.036
20090120000043868,2009-01-20T00:00:43.856000Z,-84.029202,-78.136344,1.91,6.731,7.934,-84.02709,-78.137212,1.9372,0.1925,0.0947,0.068,0.0434,0.0644,0.0591,0.0549,4.133,3.398,4.133
20090120000046100,2009-01-20T00:00:46.080000Z,-83.974409,-78.150471,1.955,6.069,7.016,-83.972891,-78.150347,1.9374,0.074,0.1204,0.1944,0.0626,0.0877,0.0392,0.0599,3.275,2.755,3.275
20090120000107548,2009-01-20T00:01:07.540000Z,-84.01595,-78.139754,1.955,8.1,9.425,-84.01511,-78.13996,1.9394,0.0693,0.129,0.1815,0.0441,0.0719,0.0462,0.0527,4.026,3.342,4.026
20090120000115428,2009-01-20T00:01:15.448000Z,-84.016384,-78.13953,1.91,17.43,20.57,-84.015728,-78.139856,1.9229,0.0694,0.0901,0.1626,0.0341,0.0513,0.0469,0.0434,6.563,5.395,6.563
20090120000121376,2009-01-20T00:01:21.408000Z,-83.903551,-78.161542,1.8,9.523,11.36,-83.904284,-78.161754,1.808,0.2304,0.0828,0.1008,0.0437,0.0645,0.0791,0.0606,5.317,4.289,5.317
20090120000124076,2009-01-20T00:01:24.100000Z,-83.92521,-78.187337,1.85,8.988,10.24,-83.926728,-78.186752,1.9334,0.0775,0.1142,0.286,0.0443,0.0776,0.1558,0.0812,4.959,4.211,4.959
20090120000133216,2009-01-20T00:01:33.248000Z,-83.763019,-78.160569,1.95,43.64,51.07,-83.762093,-78.16075,1.8809,0.0124,0.0312,0.0336,0.0408,0.046,0.065,0.0496,8.539,6.84,8.539
20090120000135092,2009-01-20T00:01:35.108000Z,-83.953696,-78.15061,1.96,20.82,25.56,-83.954431,-78.150521,1.9767,0.1758,0.0715,0.089,0.032,0.0488,0.0308,0.0364,5.521,4.354,5.521
20090120000205020,2009-01-20T00:02:05.048000Z,-84.026459,-78.1655,2.02,7.657,8.851,-84.026737,-78.165804,2.0048,0.0572,0.1347,0.156,0.0491,0.0679,0.0413,0.0516,3.026,2.525,3.026
20090120000214868,2009-01-20T00:02:14.900000Z,-84.001663,-78.176214,1.905,14.28,16.27,-84.002322,-78.176063,1.9168,0.0675,0.1177,0.2019,0.0294,0.0518,0.046,0.0412,6.262,5.341,6.262
20090120000219448,2009-01-20T00:02:19.436000Z,-83.815903,-78.181011,1.605,6.82,7.865,-83.815846,-78.181338,1.5307,0.0747,0.0984,0.7628,0.0792,0.1113,0.2495,0.1301,4.256,3.59,4.256
20090120000220924,2009-01-20T00:02:20.940000Z,-83.980088,-78.184774,1.855,8.874,10.28,-83.980581,-78.184577,1.9166,0.0735,0.1067,0.3071,0.0371,0.0717,0.1018,0.0647,5.329,4.481,5.329
20090120000222768,2009-01-20T00:02:22.776000Z,-83.807289,-78.16417,1.745,6.691,7.883,-83.806259,-78.164059,1.781,0.32,0.1211,0.082,0.0647,0.0812,0.1202,0.0858,4.506,3.74,4.506
20090120000229692,2009-01-20T00:02:29.700000Z,-84.01269,-78.140516,1.915,8.185,9.745,-84.013264,-78.140756,1.9384,0.0649,0.1027,0.1779,0.0417,0.0627,0.0435,0.0485,4.611,3.769,4.611
20090120000240156,2009-01-20T00:02:40.176000Z,-84.012298,-78.168551,2.0,8.172,9.715,-84.014373,-78.168432,1.9833,0.0662,0.1468,0.1783,0.0342,0.062,0.0362,0.0425,4.443,3.639,4.443
20090120000302080,2009-01-20T00:03:02.084000Z,-84.018125,-78.139395,1.955,14.95,17.75,-84.017567,-78.139704,1.9552,0.1869,0.1071,0.0725,0.0403,0.0523,0.0443,0.0454,5.946,4.825,5.946
