EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM,GlobalCovarianceProduct,GlobalCovarianceGeometricMean
20090120142459708,2009-01-20T14:24:59.724000Z,-84.024497,-78.165725,2.035,12.05,13.47,-84.024133,-78.165268,2.0203,0.1238,0.1428,0.0579,0.0473,0.057,0.0378,0.0467,3.908,3.364,3.908,0.00010191258000000001,0.04670993526646089
20090120071700584,2009-01-20T07:17:00.608000Z,-84.045706,-78.168447,2.085,8.435,9.667,-84.048535,-78.167925,2.0813,0.0124,0.0326,0.0334,0.0769,0.0774,0.0549,0.0689,4.255,3.578,4.255,0.00032676809399999996,0.06887789747615906
20090120193312084,2009-01-20T19:33:12.104000Z,-83.970903,-78.147516,1.955,15.27,17.53,-83.97122,-78.147546,1.9317,0.0708,0.0997,0.1647,0.0207,0.0391,0.0367,0.031,4.849,4.063,4.849,2.9703879000000005e-05,0.030969751625393248
20090120230810456,2009-01-20T23:08:10.484000Z,-83.95348,-78.151103,1.99,6.459,7.423,-83.952936,-78.151216,1.9544,0.2481,0.081,0.1052,0.0599,0.087,0.0475,0.0628,3.581,3.009,3.581,0.00024753674999999995,0.06278846918670924
20090120064406004,2009-01-20T06:44:06.008000Z,-84.015085,-78.140426,1.97,8.986,10.69,-84.015835,-78.140662,1.9553,0.2142,0.0968,0.0687,0.0427,0.0754,0.0486,0.0539,4.689,3.828,4.689,0.000156471588,0.0538863163908595
20090120091147648,2009-01-20T09:11:47.664000Z,-83.740512,-78.162841,1.96,6.388,7.399,-83.741263,-78.163122,1.9674,0.0732,0.1522,0.3467,0.0912,0.1648,0.2984,0.1649,3.736,3.107,3.736,0.004484880384,0.1649112517410902
20090120230016324,2009-01-20T23:00:16.320000Z,-84.005036,-78.16224,1.955,6.026,6.844,-84.005088,-78.162045,1.9453,0.0621,0.1372,0.1532,0.0564,0.0746,0.0403,0.0553,3.408,2.918,3.408,0.000169559832,0.05534872986495813
20090120134916184,2009-01-20T13:49:16.200000Z,-83.959857,-78.16176,1.84,5.318,6.151,-83.959216,-78.161346,1.8135,0.072,0.1213,0.2188,0.0649,0.0924,0.0632,0.0724,3.755,3.181,3.755,0.000378995232,0.07236766868326584
20090120224016420,2009-01-20T22:40:16.440000Z,-84.012297,-78.168462,2.0,6.28,7.284,-84.015189,-78.168261,1.9919,0.0663,0.1718,0.2026,0.0898,0.1053,0.0543,0.0801,4.104,3.419,4.104,0.000513457542,0.08007584172352472
20090120104045512,2009-01-20T10:40:45.556000Z,-84.020778,-78.164965,2.005,5.569,6.385,-84.018519,-78.164706,2.0058,0.0673,0.1511,0.1935,0.0775,0.0933,0.0514,0.0719,3.297,2.788,3.297,0.00037166055,0.0718977812599765
20090120002715772,2009-01-20T00:27:15.788000Z,-84.045294,-78.152459,2.05,5.528,6.268,-84.0498,-78.152989,2.0157,0.067,0.1971,0.1738,0.1666,0.093,0.0465,0.0897,3.008,2.586,3.008,0.0007204617000000001,0.08964724884286944
20090120022736188,2009-01-20T02:27:36.200000Z,-84.030918,-78.13397,1.905,5.026,5.751,-84.030296,-78.134094,1.8892,0.0673,0.1092,0.2186,0.0635,0.1094,0.0942,0.0868,3.226,2.744,3.226,0.00065439798,0.08681884089864672
20090120221607468,2009-01-20T22:16:07.472000Z,-83.81306,-78.15105,1.94,19.21,22.38,-83.812724,-78.150984,1.9337,0.0676,0.1061,0.2084,0.0408,0.0574,0.0564,0.0509,6.566,5.418,6.566,0.000132084288,0.05092726887643664
20090120144022500,2009-01-20T14:40:22.524000Z,-84.001663,-78.176258,1.9,7.824,9.14,-84.002658,-78.17659,1.8583,0.2615,0.1184,0.0734,0.0861,0.9494,0.282,0.2846,4.887,4.012,4.887,0.023051621879999998,0.2845993009778895
20090120143326364,2009-01-20T14:33:26.380000Z,-83.865769,-78.171259,1.8,5.182,6.021,-83.86767,-78.171002,1.8101,0.4275,0.1091,0.0933,0.1436,0.1941,0.2831,0.1991,4.052,3.412,4.052,0.007890778356,0.19908564578551913
20090120050608780,2009-01-20T05:06:08.788000Z,-83.866282,-78.144075,1.98,6.231,7.261,-83.867827,-78.14415,1.9848,0.2009,0.1136,0.0689,0.0537,0.0866,0.044,0.0589,3.908,3.256,3.908,0.00020461847999999998,0.058927084106761354
